"uri","date","title","uin"
"http://data.parliament.uk/resources/104918","2011-06-14","Armed Forces Bill: Committee of the whole House. Amendment 16 proposed. Question put, That the Amendment be made.","CD:2011-06-14:291"
"http://data.parliament.uk/resources/104919","2011-06-14","Armed Forces Bill: Committee of the whole House. New Clause NC15 brought up, and read the first time. Question put, That the Clause be read a second time.","CD:2011-06-14:292"
"http://data.parliament.uk/resources/104920","2011-06-14","Armed Forces Bill: Committee of the whole House. New Clause NC17 brought up, and read the first time. Question put, That the Clause be read a second time.","CD:2011-06-14:293"
"http://data.parliament.uk/resources/104915","2011-06-13","Welfare Reform Bill: Consideration of the Bill, as amended in the Public Bill Committee. New Clause NC2 - Question put, That the Clause be read a second time.","CD:2011-06-13:288"
"http://data.parliament.uk/resources/104916","2011-06-13","Welfare Reform Bill: Consideration of the Bill, as amended in the Public Bill Committee.  Amendment 23 proposed. Question put, That the Amendment be made.","CD:2011-06-13:289"
"http://data.parliament.uk/resources/104917","2011-06-13","Welfare Reform Bill: Consideration of the Bill, as amended in the Public Bill Committee.  Questions put, That Amendment 31 and 27  be made.","CD:2011-06-13:290"
"http://data.parliament.uk/resources/104914","2011-06-08","Opp Day; SO No14; Impact of Government Policies on Women;Motion made and Question proposed,that the Government’s policies are hitting women and families hardest,Question accordingly negatived.","CD:2011-06-08:287"
"http://data.parliament.uk/resources/104913","2011-05-24","Backbench Business. Eurozone Financial Assistance. Question put, That the Amendment be made.","CD:2011-05-24:286"
"http://data.parliament.uk/resources/104911","2011-05-23","Opposition Day: Leader of the Opposition. (1) Sentencing. That this House opposes changing the maximum discount for custodial sentences to up to 50 per cent. for those who plead guilty. Q.  put, That the original words stand part of the Q.","CD:2011-05-23:284"
"http://data.parliament.uk/resources/104912","2011-05-23","Opposition Day: Leader of the Opposition. (2) Policing and Crime Bill. Question put, That the Question be now put.","CD:2011-05-23:285"
"http://data.parliament.uk/resources/104907","2011-05-18","Localism Bill: Consideration of the Bill, as amended in the Public Bill Committee Amendment 352 proposed Question put, That the Amendment be made","CD:2011-05-18:280"
"http://data.parliament.uk/resources/104908","2011-05-18","Localism Bill: Consideration of the Bill, as amended in the Public Bill Committee Amendment 13 proposed Question put, That the Amendment be made","CD:2011-05-18:281"
"http://data.parliament.uk/resources/104909","2011-05-18","Localism Bill: Consideration of the Bill, as amended in the Public Bill Committee That Amendment 271 be made (Amendment selected by the Speaker for separate decision)","CD:2011-05-18:282"
"http://data.parliament.uk/resources/104910","2011-05-18","Localism Bill: Third Reading Motion made and Question put, That the Bill be now read the third time","CD:2011-05-18:283"
"http://data.parliament.uk/resources/104900","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That Amendment 37 be made (Amendment selected by the Deputy Speaker for separate decision).","CD:2011-05-17:273"
"http://data.parliament.uk/resources/104901","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That Amendment 2 be made (Amendment selected by the Deputy Speaker for separate decision).","CD:2011-05-17:274"
"http://data.parliament.uk/resources/104902","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That Amendment 41 be made (Amendment selected by the Deputy Speaker for separate decision).","CD:2011-05-17:275"
"http://data.parliament.uk/resources/104903","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That New Clause NC15 be read a second time (Question already proposed from the Chair).","CD:2011-05-17:276"
"http://data.parliament.uk/resources/104904","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That New Clause NC29 be added to the Bill (new Clause selected by the Speaker for separate decision).","CD:2011-05-17:277"
"http://data.parliament.uk/resources/104905","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That New Clause NC31 be added to the Bill (new Clause selected by the Speaker for separate decision).","CD:2011-05-17:278"
"http://data.parliament.uk/resources/104906","2011-05-17","Localism Bill: Consideration of the Bill, as amended in the P.B.C. That Amendment 298 be made (Amendment selected by the Speaker for separate decision).","CD:2011-05-17:279"
"http://data.parliament.uk/resources/104899","2011-05-13","Regulatory Authorities (Level of Charges) Bill: 2R;Motion made and Question put, That Bill  be read 2nd time;Question accordingly negatived","CD:2011-05-13:272"
"http://data.parliament.uk/resources/104896","2011-05-11","Education Bill: Consideration of the Bill, as amended in the Public Bill Committee That NC9 be added to the Bill (new clause selected by the Speaker for separate decision)","CD:2011-05-11:269"
"http://data.parliament.uk/resources/104897","2011-05-11","Education Bill: Consideration of the Bill, as amended in the Public Bill Committee That Amendment 13 be made (Amendment selected by the Speaker for separate decision)","CD:2011-05-11:270"
"http://data.parliament.uk/resources/104898","2011-05-11","Education Bill: Third Reading Motion made and Question proposed, That the Bill be now read the third time","CD:2011-05-11:271"
