"uri","date","title","uin"
"http://data.parliament.uk/resources/1353732","2021-09-08","Health and Social Care Levy (Ways and Means) - Keir Starmer's Amendment","CD:2021-09-08:1087"
"http://data.parliament.uk/resources/1353733","2021-09-08","Health and Social Care Levy (Ways and Means) ","CD:2021-09-08:1088"
"http://data.parliament.uk/resources/1353270","2021-09-07","Elections Bill: Second Reading ","CD:2021-09-07:1086"
"http://data.parliament.uk/resources/1353271","2021-09-07","Elections Bill: Keir Starmer's Reasoned Amendment to Second Reading","CD:2021-09-07:1085"
"http://data.parliament.uk/resources/1352753","2021-09-06","National Insurance Contributions Bill Report Stage: New Clause 4","CD:2021-09-06:1084"
"http://data.parliament.uk/resources/1348553","2021-07-20","Nationality and Borders Bill: Keir Starmer's Reasoned Amendment to Second Reading ","CD:2021-07-20:1082"
"http://data.parliament.uk/resources/1348554","2021-07-20","Nationality and Borders Bill: Second Reading","CD:2021-07-20:1083"
"http://data.parliament.uk/resources/1346693","2021-07-14","Ten Minute Rule Bill: Planning and Local Representation Bill","CD:2021-07-14:1079"
"http://data.parliament.uk/resources/1346704","2021-07-14","Health and Care Bill: Second Reading","CD:2021-07-14:1081"
"http://data.parliament.uk/resources/1346790","2021-07-14","Health and Care Bill: Keir Starmer's Reasoned Amendment to Second Reading","CD:2021-07-14:1080"
"http://data.parliament.uk/resources/1346152","2021-07-13","Treasury update on international aid","CD:2021-07-13:1074"
"http://data.parliament.uk/resources/1346155","2021-07-13","Armed Forces Bill: Report Stage: New Clause 4","CD:2021-07-13:1075"
"http://data.parliament.uk/resources/1346156","2021-07-13","Armed Forces Bill: Report Stage: Amendment 1","CD:2021-07-13:1076"
"http://data.parliament.uk/resources/1346158","2021-07-13","Armed Forces Bill: Report Stage: Amendment 2","CD:2021-07-13:1077"
"http://data.parliament.uk/resources/1346198","2021-07-13","Draft Health and Social Care Act 2008 (Regulated Activities) (Amendment) (Coronavirus) Regulations 2021","CD:2021-07-13:1078"
"http://data.parliament.uk/resources/1345672","2021-07-12","Higher Education (Freedom of Speech) Bill: Reasoned Amendment to Second Reading","CD:2021-07-12:1073"
"http://data.parliament.uk/resources/1344582","2021-07-07","Opposition day: Covid 19: contracts and public inquiry","CD:2021-07-07:1071"
"http://data.parliament.uk/resources/1344595","2021-07-07","Opposition day: EU settlement scheme","CD:2021-07-07:1072"
"http://data.parliament.uk/resources/1344058","2021-07-06","Dissolution and Calling of Parliament Bill: Second Reading","CD:2021-07-06:1070"
"http://data.parliament.uk/resources/1343404","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: New Clause 31","CD:2021-07-05:1061"
"http://data.parliament.uk/resources/1343412","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: Amendment 1","CD:2021-07-05:1063"
"http://data.parliament.uk/resources/1343413","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: Amendment 8","CD:2021-07-05:1064"
"http://data.parliament.uk/resources/1343414","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: New Clause 91","CD:2021-07-05:1062"
"http://data.parliament.uk/resources/1343433","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: New Clause 19","CD:2021-07-05:1065"
"http://data.parliament.uk/resources/1343434","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: New Clause 89","CD:2021-07-05:1066"
"http://data.parliament.uk/resources/1343435","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: New Clause 97","CD:2021-07-05:1067"
"http://data.parliament.uk/resources/1343436","2021-07-05","Police, Crime, Sentencing and Courts Bill: Report Stage: New Clause 98","CD:2021-07-05:1068"
"http://data.parliament.uk/resources/1343437","2021-07-05","Police, Crime, Sentencing and Courts Bill: Third Reading","CD:2021-07-05:1069"
"http://data.parliament.uk/resources/1339352","2021-06-23","Adjournment (Conference, November and Christmas)","CD:2021-06-23:1057"
"http://data.parliament.uk/resources/1339358","2021-06-23","Armed Forces Bill: Committee: Amendment 1","CD:2021-06-23:1058"
"http://data.parliament.uk/resources/1339359","2021-06-23","Armed Forces Bill Committee: Amendment 41","CD:2021-06-23:1059"
"http://data.parliament.uk/resources/1339360","2021-06-23","Armed Forces Bill Committee: New Clause 7","CD:2021-06-23:1060"
"http://data.parliament.uk/resources/1338294","2021-06-21","Opposition Day: Planning Decisions: Local Involvement","CD:2021-06-21:1055"
"http://data.parliament.uk/resources/1338360","2021-06-21","Opposition Day: Protecting Britain's Steel Industry","CD:2021-06-21:1056"
"http://data.parliament.uk/resources/1336990","2021-06-16","Draft Climate Change Act 2008 (Credit Limit) Order 2021","CD:2021-06-16:1052"
"http://data.parliament.uk/resources/1337509","2021-06-16","Proceedings during the pandemic","CD:2021-06-16:1054"
