"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/2417","Charles",,"Stamp","Lord Stamp","Male","Trevor",,,"Biography information for Lord Stamp",,
"http://data.parliament.uk/members/2239","Charles Bosworth",,"Stamp","Lord Stamp","Male","Trevor",,,"Biography information for Lord Stamp",,
"http://data.parliament.uk/members/1180","Robert","Orpington","Stanbrook","Ivor Stanbrook","Male","Ivor",,,"Biography information for Ivor Stanbrook","Conservative",
"http://data.parliament.uk/members/2149","Staffurth",,"Stancliffe","The Lord Bishop of Salisbury","Male","David",,,"Biography information for The Lord Bishop of Salisbury",,
"http://data.parliament.uk/members/2664","Henry Leicester",,"Stanhope","The Earl of Harrington","Male","William",,,"Biography information for The Earl of Harrington",,
"http://data.parliament.uk/members/2912","John",,"Stanley","Earl of Derby","Male","Edward",,,"Biography information for Earl of Derby",,
"http://data.parliament.uk/members/2683","Richard William",,"Stanley","Earl of Derby","Male","Edward",,,"Biography information for Earl of Derby",,
"http://data.parliament.uk/members/91","Paul","Tonbridge and Malling","Stanley","Sir John Stanley","Male","John",,,"Biography information for Sir John Stanley","Conservative",
"http://data.parliament.uk/members/3151","Henry Oliver",,"Stanley","Lord Stanley of Alderley","Male","Thomas",,,"Biography information for Lord Stanley of Alderley",,
"http://data.parliament.uk/members/3370","Wellington",,"Stapleton-Cotton","Viscount Combermere","Male","Michael",,,"Biography information for Viscount Combermere",,
"http://data.parliament.uk/members/19","Margaret","Milton Keynes South West","Starkey","Dr Phyllis Starkey","Female","Phyllis","www.phyllisstarkey.co.uk","http://www.phyllisstarkey.co.uk/","Biography information for Dr Phyllis Starkey","Labour",
"http://data.parliament.uk/members/4514",,"Holborn and St Pancras","Starmer","Keir Starmer","Male","Keir","www.keirstarmer.com","http://www.keirstarmer.com/","Biography information for Keir Starmer","Labour","https://twitter.com/keir_starmer"
"http://data.parliament.uk/members/2945",,,"Stedman","The Baroness Stedman","Female","Phyllis",,,"Biography information for The Baroness Stedman",,
"http://data.parliament.uk/members/4174",,,"Stedman-Scott","Baroness Stedman-Scott","Female","Deborah",,,"Biography information for Baroness Stedman-Scott",,
"http://data.parliament.uk/members/949",,,"Steel","Lord Steel of Aikwood","Male","David",,,"Biography information for Lord Steel of Aikwood",,
"http://data.parliament.uk/members/239","David","Totnes","Steen","Mr Anthony Steen","Male","Anthony","www.anthonysteen.org.uk","http://www.anthonysteen.org.uk/","Biography information for Mr Anthony Steen","Conservative",
"http://data.parliament.uk/members/508","Neil","City of Durham","Steinberg","Mr Gerry Steinberg","Male","Gerald","www.gerry-steinberg.org.uk","http://www.gerry-steinberg.org.uk","Biography information for Mr Gerry Steinberg","Labour",
"http://data.parliament.uk/members/3698",,,"Steinberg","Lord Steinberg","Male","Leonard",,,"Biography information for Lord Steinberg",,
"http://data.parliament.uk/members/1169","Michael Lace","Shoreham","Stephen","Michael Stephen","Male","Barrie",,,"Biography information for Michael Stephen","Conservative",
"http://data.parliament.uk/members/4239","Ross",,"Stephen","Lord Stephen","Male","Nicol",,,"Biography information for Lord Stephen",,
"http://data.parliament.uk/members/4463","Charles","Glasgow South West","Stephens","Chris Stephens","Male","Christopher","www.chrisstephens.scot","http://www.chrisstephens.scot/","Biography information for Chris Stephens","Scottish National Party","https://twitter.com/ChrisStephens"
"http://data.parliament.uk/members/4044","George","Pendle","Stephenson","Andrew Stephenson","Male","Andrew",,,"Biography information for Andrew Stephenson","Conservative","https://twitter.com/Andrew4Pendle"
"http://data.parliament.uk/members/2228",,,"Sterling","Lord Sterling of Plaistow","Male","Jeffrey",,,"Biography information for Lord Sterling of Plaistow",,
"http://data.parliament.uk/members/1275","Charles","Bristol North West","Stern","Michael Stern","Male","Michael",,,"Biography information for Michael Stern","Conservative",
"http://data.parliament.uk/members/3846",,,"Stern","Lord Stern of Brentford","Male","Nicholas",,,"Biography information for Lord Stern of Brentford",,
"http://data.parliament.uk/members/2475","Helen",,"Stern","Baroness Stern","Female","Vivien",,,"Biography information for Baroness Stern",,
"http://data.parliament.uk/members/2227","Robert",,"Stevens","Lord Stevens of Ludgate","Male","David",,,"Biography information for Lord Stevens of Ludgate",,
"http://data.parliament.uk/members/4425","Meriel","Cardiff Central","Stevens","Jo Stevens","Female","Joanna","www.jostevens.co.uk","http://www.jostevens.co.uk/","Biography information for Jo Stevens","Labour","https://twitter.com/jostevenslabour"
"http://data.parliament.uk/members/3733",,,"Stevens","Lord Stevens of Kirkwhelpington","Male","John",,,"Biography information for Lord Stevens of Kirkwhelpington",,
"http://data.parliament.uk/members/1291","David","Nuneaton","Stevens","Lewis Stevens","Male","Lewis",,,"Biography information for Lewis Stevens","Conservative",
"http://data.parliament.uk/members/1322",,"Fulham","Stevens","Martin Stevens","Male","Martin",,,"Biography information for Martin Stevens","Conservative",
"http://data.parliament.uk/members/4924",,,"Stevens","Lord Stevens of Birmingham","Male","Simon",,,"Biography information for Lord Stevens of Birmingham",,
"http://data.parliament.uk/members/3641",,,"Stevens","The Lord Bishop of Leicester","Male","Timothy","bishop-of-leicester","http://www.leicester.anglican.org/about-us/bishop-of-leicester/","Biography information for The Lord Bishop of Leicester",,
"http://data.parliament.uk/members/3942","John","Carlisle","Stevenson","John Stevenson","Male","Andrew","www.johnstevensonmp.co.uk","http://www.johnstevensonmp.co.uk","Biography information for John Stevenson","Conservative","https://twitter.com/JohnStevensonMP"
"http://data.parliament.uk/members/287","William","Stoke-on-Trent South","Stevenson","Mr George Stevenson","Male","George",,,"Biography information for Mr George Stevenson","Labour",
"http://data.parliament.uk/members/2474",,,"Stevenson","Lord Stevenson of Coddenham","Male","Henry",,,"Biography information for Lord Stevenson of Coddenham",,
"http://data.parliament.uk/members/4750","Fiona Catherine","Wolverhampton North East","Stevenson","Jane Stevenson","Female","Jane",,,"Biography information for Jane Stevenson","Conservative","https://twitter.com/Jane_Stevenson_"
"http://data.parliament.uk/members/2511","William",,"Stevenson","The Lord Bishop of Portsmouth","Male","Kenneth",,,"Biography information for The Lord Bishop of Portsmouth",,
"http://data.parliament.uk/members/4175",,,"Stevenson","Lord Stevenson of Balmacara","Male","Robert",,,"Biography information for Lord Stevenson of Balmacara",,
"http://data.parliament.uk/members/1293","Struthers","Sherwood","Stewart","Andy Stewart","Male","Andrew",,,"Biography information for Andy Stewart","Conservative",
"http://data.parliament.uk/members/986",,,"Stewart","Lord Stewartby","Male","Bernard",,,"Biography information for Lord Stewartby",,
