"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/172","Julie","Hackney North and Stoke Newington","Abbott","Ms Diane Abbott","Female","Diane","www.dianeabbott.org.uk","http://www.dianeabbott.org.uk","Biography information for Ms Diane Abbott","Labour","https://twitter.com/HackneyAbbott"
"http://data.parliament.uk/members/1875","Huddleston",,"Abney-Hastings","Countess Loudoun","Female","Barbara",,,"Biography information for Countess Loudoun",,
"http://data.parliament.uk/members/4212","Angela Elspeth Marie","Oldham East and Saddleworth","Abrahams","Debbie Abrahams","Female","Deborah","www.debbieabrahams.org.uk","http://www.debbieabrahams.org.uk/","Biography information for Debbie Abrahams","Labour","https://twitter.com/Debbie_abrahams"
"http://data.parliament.uk/members/662",,"Torfaen","Abse","Leo Abse","Male","Leopold",,,"Biography information for Leo Abse","Labour",
"http://data.parliament.uk/members/3464","James Conrad",,"Ackner","Lord Ackner","Male","Desmond",,,"Biography information for Lord Ackner",,
"http://data.parliament.uk/members/663","Steele","Paisley North","Adams","Allen Adams","Male","Allender",,,"Biography information for Allen Adams","Labour",
"http://data.parliament.uk/members/645",,"Belfast West","Adams","Mr Gerry Adams","Male","Gerard",,,"Biography information for Mr Gerry Adams","Sinn Féin",
"http://data.parliament.uk/members/631",,,"Adams","Baroness Adams of Craigielea","Female","Katherine",,,"Biography information for Baroness Adams of Craigielea",,
"http://data.parliament.uk/members/4057",,"Selby and Ainsty","Adams","Nigel Adams","Male","Nigel","www.selbyandainsty.com","http://www.selbyandainsty.com/","Biography information for Nigel Adams","Conservative",
"http://data.parliament.uk/members/3188","Nigel Arden",,"Adderley","Lord Norton","Male","James",,,"Biography information for Lord Norton",,
"http://data.parliament.uk/members/3066","Arden",,"Adderley","Lord Norton","Male","John",,,"Biography information for Lord Norton",,
"http://data.parliament.uk/members/3131","Tonge Anthony Pellew",,"Addington","Viscount Sidmouth","Male","John",,,"Biography information for Viscount Sidmouth",,
"http://data.parliament.uk/members/3461","Matthew Wand",,"Addison","Viscount Addison","Male","William",,,"Biography information for Viscount Addison",,
"http://data.parliament.uk/members/2175","Olufemi",,"Adebowale","Lord Adebowale","Male","Victor",,,"Biography information for Lord Adebowale",,
"http://data.parliament.uk/members/3002","Edgar",,"Adie","The Lord Bishop of Guildford","Male","Michael",,,"Biography information for The Lord Bishop of Guildford",,
"http://data.parliament.uk/members/665","James","Christchurch","Adley","Robert Adley","Male","Robert",,,"Biography information for Robert Adley","Conservative",
"http://data.parliament.uk/members/3743",,,"Adonis","Lord Adonis","Male","Andrew",,,"Biography information for Lord Adonis",,"https://twitter.com/Andrew_Adonis"
"http://data.parliament.uk/members/2948","Hume",,"Adrian","Lord Adrian","Male","Richard",,,"Biography information for Lord Adrian",,
"http://data.parliament.uk/members/4639",,"Hitchin and Harpenden","Afolami","Bim Afolami","Male","Abimbola",,,"Biography information for Bim Afolami","Conservative","https://twitter.com/BimAfolami"
